Date,Rain (mm)
16-05-2020,4.16
17-05-2020,1.13
18-05-2020,14.03
19-05-2020,1.01
20-05-2020,3.19
21-05-2020,0.35
22-05-2020,0.77
23-05-2020,1.53
24-05-2020,0.7
25-05-2020,1.89
26-05-2020,4.72
27-05-2020,1.68
28-05-2020,2.2
29-05-2020,2.14
30-05-2020,8.58
31-05-2020,2.68
01-06-2020,9.17
02-06-2020,11.94
03-06-2020,5.59
04-06-2020,7.01
05-06-2020,2.55
06-06-2020,2.24
07-06-2020,3.89
08-06-2020,1.36
09-06-2020,0.59
10-06-2020,0.92
11-06-2020,12.97
12-06-2020,8.95
13-06-2020,4.54
14-06-2020,6.05
15-06-2020,5.06
16-06-2020,5.22
17-06-2020,14.12
18-06-2020,9.15
19-06-2020,4.75
20-06-2020,4.1
21-06-2020,1.58
22-06-2020,4.6
23-06-2020,4.6
24-06-2020,2.75
25-06-2020,5.85
26-06-2020,17.46
27-06-2020,3.3
28-06-2020,7.9
29-06-2020,6.51
30-06-2020,10.38
01-07-2020,2.81
02-07-2020,5.5
03-07-2020,16.07
04-07-2020,9.2
05-07-2020,7.52
06-07-2020,5.17
07-07-2020,5.63
08-07-2020,13.49
09-07-2020,14.63
10-07-2020,14.29
11-07-2020,4.68
12-07-2020,4.73
13-07-2020,2.76
14-07-2020,
15-07-2020,
16-07-2020,
17-07-2020,
18-07-2020,
19-07-2020,
20-07-2020,
21-07-2020,
22-07-2020,
23-07-2020,
24-07-2020,
25-07-2020,
26-07-2020,
27-07-2020,
28-07-2020,
29-07-2020,8.02
30-07-2020,12.41
31-07-2020,5.24
01-08-2020,6.68
02-08-2020,6.18
03-08-2020,9.04
04-08-2020,15.81
05-08-2020,26.81
06-08-2020,25.58
07-08-2020,19.76
08-08-2020,14.26
09-08-2020,9.5
10-08-2020,13.99
11-08-2020,8.75
12-08-2020,7.99
13-08-2020,3.03
14-08-2020,4.56
15-08-2020,4.33
16-08-2020,13.47
17-08-2020,20.03
18-08-2020,8.93
19-08-2020,6.82
20-08-2020,3.15
21-08-2020,12.01
22-08-2020,5.63
23-08-2020,4.9
24-08-2020,3.39
25-08-2020,1.51
26-08-2020,0.74
27-08-2020,1.08
28-08-2020,1.69
29-08-2020,1.51
30-08-2020,3.09
31-08-2020,5.34
01-09-2020,6.64
02-09-2020,7.21
03-09-2020,20.52
04-09-2020,8.18
05-09-2020,4.83
06-09-2020,1.82
07-09-2020,12.91
08-09-2020,5.81
09-09-2020,13.08
10-09-2020,14.73
11-09-2020,6.99
12-09-2020,9.63
13-09-2020,14.24
14-09-2020,7.25
15-09-2020,7.83
16-09-2020,8.33
17-09-2020,7.4
18-09-2020,11.78
19-09-2020,5.47
20-09-2020,16.92
21-09-2020,20.48
22-09-2020,10.2
23-09-2020,4.14
24-09-2020,1.43
25-09-2020,1.74
26-09-2020,22.95
27-09-2020,7.55
28-09-2020,3.21
29-09-2020,1.24
30-09-2020,7.8
01-10-2020,9.09
02-10-2020,0.76
03-10-2020,2.87
04-10-2020,1.46
05-10-2020,1.43
06-10-2020,1.43
07-10-2020,2
08-10-2020,1.09
09-10-2020,2.57
10-10-2020,16.23
11-10-2020,18.69
12-10-2020,12.62
13-10-2020,11.82
14-10-2020,22.66
15-10-2020,16.6
16-10-2020,2.5
17-10-2020,0.63
18-10-2020,1.52
19-10-2020,3.2
20-10-2020,4.62
21-10-2020,19.18
22-10-2020,10.25
23-10-2020,4.87
24-10-2020,4.4
25-10-2020,1.35
26-10-2020,1.61
27-10-2020,0.47
28-10-2020,0.02
29-10-2020,0.01
30-10-2020,0.06
31-10-2020,0.01
01-11-2020,0.61
02-11-2020,0.69
03-11-2020,0.62
04-11-2020,0.09
05-11-2020,0.41
06-11-2020,4.11
07-11-2020,0.39
08-11-2020,0.12
09-11-2020,0.03
10-11-2020,0
11-11-2020,0
12-11-2020,0.01
13-11-2020,0.17
14-11-2020,2.85
15-11-2020,0
16-11-2020,2.42
17-11-2020,3.86
18-11-2020,0.74
19-11-2020,0.04
20-11-2020,0
21-11-2020,0.07
22-11-2020,0
23-11-2020,0
24-11-2020,0
25-11-2020,0
26-11-2020,1.94
27-11-2020,4.42
28-11-2020,2.53
29-11-2020,0.27
30-11-2020,0.23
01-12-2020,0
02-12-2020,0
03-12-2020,0.04
04-12-2020,0.57
05-12-2020,0.63
06-12-2020,0.56
07-12-2020,0.92
08-12-2020,2.9
09-12-2020,3.87
10-12-2020,0.17
11-12-2020,0.32
12-12-2020,0.02
13-12-2020,0
14-12-2020,0
15-12-2020,0
16-12-2020,0
17-12-2020,0
18-12-2020,0.01
19-12-2020,0
20-12-2020,0
21-12-2020,0
22-12-2020,0
23-12-2020,0
24-12-2020,0.18
25-12-2020,0.02
26-12-2020,0
27-12-2020,0
28-12-2020,0
29-12-2020,0
30-12-2020,0
31-12-2020,0.33
01-01-2021,0.18
02-01-2021,0
03-01-2021,0.02
04-01-2021,1.26
05-01-2021,1.25
06-01-2021,0.59
07-01-2021,12.77
08-01-2021,2.39
09-01-2021,5.33
10-01-2021,0.29
11-01-2021,0
12-01-2021,0.02
13-01-2021,0.01
14-01-2021,0.04
15-01-2021,0.15
16-01-2021,0
17-01-2021,0.77
18-01-2021,0
19-01-2021,0
20-01-2021,0
21-01-2021,0
22-01-2021,0
23-01-2021,0
24-01-2021,0
25-01-2021,0
26-01-2021,0
27-01-2021,0
28-01-2021,0
29-01-2021,0
30-01-2021,0
31-01-2021,0
01-02-2021,0
02-02-2021,0
03-02-2021,0
04-02-2021,0
05-02-2021,0
06-02-2021,0
07-02-2021,0
08-02-2021,0
09-02-2021,0
10-02-2021,0
11-02-2021,0
12-02-2021,0
13-02-2021,0
14-02-2021,0
15-02-2021,0
16-02-2021,0
17-02-2021,0
18-02-2021,0.02
19-02-2021,1.99
20-02-2021,3.47
21-02-2021,1.93
22-02-2021,4.23
23-02-2021,3.82
24-02-2021,0.02
25-02-2021,0.02
26-02-2021,0.02
27-02-2021,0
28-02-2021,0
01-03-2021,0
02-03-2021,0
03-03-2021,0
04-03-2021,0
05-03-2021,0
06-03-2021,0
07-03-2021,0
08-03-2021,0
09-03-2021,0
10-03-2021,0
11-03-2021,0.27
12-03-2021,0.22
13-03-2021,0
14-03-2021,0
15-03-2021,0
16-03-2021,0
17-03-2021,0.04
18-03-2021,0
19-03-2021,0
20-03-2021,0
21-03-2021,0.12
22-03-2021,0.12
23-03-2021,0.05
24-03-2021,0
25-03-2021,0.48
26-03-2021,0.04
27-03-2021,0.03
28-03-2021,0.05
29-03-2021,1
30-03-2021,0.64
31-03-2021,0
01-04-2021,0.01
02-04-2021,0.01
03-04-2021,0
04-04-2021,0
05-04-2021,0.02
06-04-2021,0.16
07-04-2021,0.01
08-04-2021,0.02
09-04-2021,0.18
10-04-2021,0.81
11-04-2021,0.38
12-04-2021,1.44
13-04-2021,1.79
14-04-2021,2.49
15-04-2021,8.24
16-04-2021,1.13
17-04-2021,1.66
18-04-2021,0.85
19-04-2021,2.39
20-04-2021,1.51
21-04-2021,0.87
22-04-2021,2.95
23-04-2021,6.06
24-04-2021,5.24
25-04-2021,1.87
26-04-2021,1.41
27-04-2021,
28-04-2021,2.94
29-04-2021,0.42
30-04-2021,5.28
01-05-2021,0.64
02-05-2021,3.27
03-05-2021,2.42
04-05-2021,2.64
05-05-2021,3.95
06-05-2021,4.96
07-05-2021,3.24
08-05-2021,5.35
09-05-2021,1.35
10-05-2021,
11-05-2021,3.1
12-05-2021,4.64
13-05-2021,3.85
14-05-2021,4.4
15-05-2021,3.1
16-05-2021,18.51
17-05-2021,5.55
18-05-2021,1.51
19-05-2021,4.46
20-05-2021,5.26
21-05-2021,2.93
22-05-2021,7.96
23-05-2021,2.28
24-05-2021,
25-05-2021,3.84
26-05-2021,5.61
27-05-2021,1.07
28-05-2021,0.46
29-05-2021,1.68
30-05-2021,3.89
31-05-2021,2.38
01-06-2021,2.85
02-06-2021,2.32
03-06-2021,16.18
04-06-2021,15.52
05-06-2021,13.12
06-06-2021,8.66
07-06-2021,1.21
08-06-2021,0.26
09-06-2021,1.73
10-06-2021,2.82
11-06-2021,2.86
12-06-2021,
13-06-2021,11.41
14-06-2021,9.58
15-06-2021,11.19
16-06-2021,15.19
17-06-2021,18.24
18-06-2021,15.24
19-06-2021,10.63
20-06-2021,11.13
21-06-2021,
22-06-2021,1.16
23-06-2021,
24-06-2021,
25-06-2021,
26-06-2021,1.99
27-06-2021,12.45
28-06-2021,4.11
29-06-2021,
30-06-2021,0.47
01-07-2021,0.36
02-07-2021,4.01
03-07-2021,0.96
04-07-2021,1.82
05-07-2021,8.51
06-07-2021,5.01
07-07-2021,6.07
08-07-2021,6.43
09-07-2021,5.07
10-07-2021,12.09
11-07-2021,7.68
12-07-2021,7.69
13-07-2021,9.58
14-07-2021,
15-07-2021,
16-07-2021,13.59
17-07-2021,9.36
18-07-2021,24.54
19-07-2021,19.19
20-07-2021,7.14
21-07-2021,8.66
22-07-2021,15.73
23-07-2021,35.65
24-07-2021,17.83
25-07-2021,7.2
26-07-2021,7.68
27-07-2021,2.68
28-07-2021,2.56
29-07-2021,2.14
30-07-2021,3.36
31-07-2021,2.89
01-08-2021,3.13
02-08-2021,1.6
03-08-2021,2.97
04-08-2021,9.76
05-08-2021,4.67
06-08-2021,6.56
07-08-2021,6.05
08-08-2021,5.99
09-08-2021,2.06
10-08-2021,3.53
11-08-2021,1.24
12-08-2021,3.9
13-08-2021,4.76
14-08-2021,3.92
15-08-2021,2.73
16-08-2021,4.15
17-08-2021,6.24
18-08-2021,5.08
19-08-2021,6.29
20-08-2021,3.29
21-08-2021,1.36
22-08-2021,8.96
23-08-2021,9.35
24-08-2021,4.54
25-08-2021,5.06
26-08-2021,3.39
27-08-2021,5.83
28-08-2021,9.21
29-08-2021,13.93
30-08-2021,9.99
31-08-2021,5.3
01-09-2021,2.87
02-09-2021,4.63
03-09-2021,8.46
04-09-2021,8.63
05-09-2021,9.5
06-09-2021,12.15
07-09-2021,7.82
08-09-2021,7.47
09-09-2021,4.56
10-09-2021,1.66
11-09-2021,2.25
12-09-2021,7.7
13-09-2021,6.24
14-09-2021,7.42
15-09-2021,2.45
16-09-2021,1.02
17-09-2021,0.26
18-09-2021,0.1
19-09-2021,0.39
20-09-2021,1.69
21-09-2021,10.48
22-09-2021,6.67
23-09-2021,4.54
24-09-2021,5.06
25-09-2021,4.6
26-09-2021,4.38
27-09-2021,2.03
28-09-2021,8.22
29-09-2021,3.93
30-09-2021,2.04
01-10-2021,4.28
02-10-2021,14.05
03-10-2021,4.63
04-10-2021,4.91
05-10-2021,6.73
06-10-2021,13.72
07-10-2021,14.72
08-10-2021,5.92
09-10-2021,7.85
10-10-2021,10.11
11-10-2021,7.08
12-10-2021,14.29
13-10-2021,12.97
14-10-2021,3.66
15-10-2021,2.15
16-10-2021,3.14
17-10-2021,6.7
18-10-2021,1.91
19-10-2021,0.96
20-10-2021,0.19
21-10-2021,7.43
22-10-2021,8.37
23-10-2021,3.91
24-10-2021,12.98
25-10-2021,7.83
26-10-2021,2.04
27-10-2021,1.17
28-10-2021,0.06
29-10-2021,0.08
30-10-2021,2.11
31-10-2021,1.44
01-11-2021,2.1
02-11-2021,4.09
03-11-2021,1.85
04-11-2021,2.69
05-11-2021,7.76
06-11-2021,7.28
07-11-2021,3.73
08-11-2021,0.48
09-11-2021,1.33
10-11-2021,0.07
11-11-2021,0.54
12-11-2021,7.67
13-11-2021,5.35
14-11-2021,10.57
15-11-2021,9.41
16-11-2021,7.87
17-11-2021,12.16
18-11-2021,6.92
19-11-2021,22.8
20-11-2021,20.33
21-11-2021,11.27
22-11-2021,3.45
23-11-2021,3.84
24-11-2021,3.57
25-11-2021,2.13
26-11-2021,0.17
27-11-2021,0.16
28-11-2021,0.3
29-11-2021,0.4
30-11-2021,2.61
01-12-2021,1.92
02-12-2021,4.61
03-12-2021,2.57
04-12-2021,4.62
05-12-2021,3.15
06-12-2021,0.19
07-12-2021,0.35
08-12-2021,0.02
09-12-2021,0
10-12-2021,1.58
11-12-2021,0.05
12-12-2021,0.19
13-12-2021,0.11
14-12-2021,0.5
15-12-2021,0.06
16-12-2021,0.03
17-12-2021,0
18-12-2021,0
19-12-2021,0
20-12-2021,0
21-12-2021,0
22-12-2021,0
23-12-2021,0
24-12-2021,0
25-12-2021,0
26-12-2021,0
27-12-2021,0
28-12-2021,0
29-12-2021,0
30-12-2021,0
31-12-2021,0.06
01-01-2022,0.29
02-01-2022,0.04
03-01-2022,0
04-01-2022,0
05-01-2022,0
06-01-2022,0
07-01-2022,0
08-01-2022,0
09-01-2022,0.03
10-01-2022,0.09
11-01-2022,0.08
12-01-2022,0.02
13-01-2022,0.04
14-01-2022,0
15-01-2022,0.01
16-01-2022,0.01
17-01-2022,0.01
18-01-2022,0.15
19-01-2022,0
20-01-2022,0
21-01-2022,0
22-01-2022,0
23-01-2022,0
24-01-2022,0.01
25-01-2022,0
26-01-2022,0.01
27-01-2022,0.09
28-01-2022,0.01
29-01-2022,0
30-01-2022,0
31-01-2022,0
01-02-2022,0
02-02-2022,0
03-02-2022,0
04-02-2022,0
05-02-2022,0
06-02-2022,0
07-02-2022,0
08-02-2022,0
09-02-2022,0
10-02-2022,0
11-02-2022,0
12-02-2022,0
13-02-2022,0
14-02-2022,0
15-02-2022,
16-02-2022,0
17-02-2022,0.02
18-02-2022,0.01
19-02-2022,0
20-02-2022,0
21-02-2022,0
22-02-2022,0
23-02-2022,0
24-02-2022,0
25-02-2022,0
26-02-2022,0
27-02-2022,0
28-02-2022,0
01-03-2022,0
02-03-2022,0
03-03-2022,0
04-03-2022,0
05-03-2022,0
06-03-2022,0
07-03-2022,0
08-03-2022,0
09-03-2022,0.08
10-03-2022,0
11-03-2022,0.12
12-03-2022,0.02
13-03-2022,0
14-03-2022,0
15-03-2022,0
16-03-2022,0
17-03-2022,0
18-03-2022,0
19-03-2022,1.21
20-03-2022,1.8
21-03-2022,
22-03-2022,2.02
23-03-2022,0.33
24-03-2022,2.5
25-03-2022,1.97
26-03-2022,0.97
27-03-2022,1.06
28-03-2022,0.55
29-03-2022,0.32
30-03-2022,0.48
31-03-2022,0.51
01-04-2022,0.26
02-04-2022,0.72
03-04-2022,
04-04-2022,0.35
05-04-2022,0.31
06-04-2022,1.31
07-04-2022,
08-04-2022,0.68
09-04-2022,0.46
10-04-2022,1.59
11-04-2022,1.79
12-04-2022,0.04
13-04-2022,0.16
14-04-2022,5.61
15-04-2022,6.88
16-04-2022,1.17
17-04-2022,7.98
18-04-2022,3.43
19-04-2022,5.44
20-04-2022,3.45
21-04-2022,0
22-04-2022,2.62
23-04-2022,1.45
24-04-2022,0.4
25-04-2022,0.15
26-04-2022,3.8
27-04-2022,0.42
28-04-2022,0.23
29-04-2022,4.49
30-04-2022,1.47
01-05-2022,2.1
02-05-2022,2.68
03-05-2022,0.24
04-05-2022,2.94
05-05-2022,7.44
06-05-2022,4.02
07-05-2022,3.66
08-05-2022,2.31
09-05-2022,4.46
10-05-2022,2.14
11-05-2022,2.13
12-05-2022,4.61
13-05-2022,6.99
14-05-2022,2.19
15-05-2022,2.93
16-05-2022,1.51
17-05-2022,17.89
18-05-2022,23.42
19-05-2022,32.48
20-05-2022,31.03
21-05-2022,9.38
22-05-2022,0.16
23-05-2022,1.09
24-05-2022,0.03
25-05-2022,0.67
26-05-2022,0.31
27-05-2022,1.68
28-05-2022,0.26
29-05-2022,0.27
30-05-2022,0.3
31-05-2022,3.51
01-06-2022,4.29
02-06-2022,1.36
03-06-2022,7.92
04-06-2022,3.45
05-06-2022,3.01
06-06-2022,13.71
07-06-2022,1.67
08-06-2022,1.44
09-06-2022,3.04
10-06-2022,0.5
11-06-2022,1.79
12-06-2022,2.7
13-06-2022,4.61
14-06-2022,1.22
15-06-2022,8.27
16-06-2022,3.29
17-06-2022,10.12
18-06-2022,7.85
19-06-2022,5.52
20-06-2022,4.79
21-06-2022,5.72
22-06-2022,6.46
23-06-2022,4.13
24-06-2022,6.14
25-06-2022,4.08
26-06-2022,4.21
27-06-2022,3.83
28-06-2022,3.3
29-06-2022,7.4
30-06-2022,7.61
01-07-2022,11.09
02-07-2022,12.89
03-07-2022,9.32
04-07-2022,13.03
05-07-2022,16.35
06-07-2022,24.04
07-07-2022,19.6
08-07-2022,19.96
09-07-2022,16.92
10-07-2022,21.65
11-07-2022,11.52
12-07-2022,15.5
13-07-2022,15.81
14-07-2022,18.09
15-07-2022,13.1
16-07-2022,
17-07-2022,
18-07-2022,12.88
19-07-2022,3.29
20-07-2022,1.51
21-07-2022,5.25
22-07-2022,1.61
23-07-2022,5.88
24-07-2022,3.99
25-07-2022,2.27
26-07-2022,5.8
27-07-2022,3.87
28-07-2022,18.36
29-07-2022,5.06
30-07-2022,16.61
31-07-2022,10.2
01-08-2022,9.67
02-08-2022,30.48
03-08-2022,18.35
04-08-2022,13.61
05-08-2022,21.31
06-08-2022,15.24
07-08-2022,13.74
08-08-2022,14.64
09-08-2022,16.76
10-08-2022,7.46
11-08-2022,8.71
12-08-2022,9.11
13-08-2022,4.15
14-08-2022,2.67
15-08-2022,2.32
16-08-2022,1.7
17-08-2022,0.73
18-08-2022,0.84
19-08-2022,1.4
20-08-2022,1.5
21-08-2022,3.31
22-08-2022,4.52
23-08-2022,6.97
24-08-2022,5.39
25-08-2022,8.09
26-08-2022,10.47
27-08-2022,19.37
28-08-2022,14.24
29-08-2022,11.22
30-08-2022,24.24
31-08-2022,5.34
01-09-2022,11.98
02-09-2022,12.95
03-09-2022,1.76
04-09-2022,4.42
05-09-2022,17.98
06-09-2022,25.24
07-09-2022,19.69
08-09-2022,12.32
09-09-2022,6.94
10-09-2022,7.6
11-09-2022,10.08
12-09-2022,8.98
13-09-2022,5.49
14-09-2022,3.48
15-09-2022,2.35
16-09-2022,2.23
17-09-2022,1.14
18-09-2022,0.86
19-09-2022,0.94
20-09-2022,0.67
21-09-2022,0.89
22-09-2022,0.32
23-09-2022,0.12
24-09-2022,1.6
25-09-2022,0.97
26-09-2022,2.72
27-09-2022,2.56
28-09-2022,0.6
29-09-2022,4.31
30-09-2022,11.88
01-10-2022,13.1
02-10-2022,11.69
03-10-2022,3
04-10-2022,1.52
05-10-2022,0.49
06-10-2022,7.07
07-10-2022,10.92
08-10-2022,1.18
09-10-2022,0.06
10-10-2022,11.52
11-10-2022,12.72
12-10-2022,11.27
13-10-2022,16.02
14-10-2022,15.84
15-10-2022,12.19
16-10-2022,10.85
17-10-2022,9.13
18-10-2022,3.67
19-10-2022,9.91
20-10-2022,11.57
21-10-2022,6.68
22-10-2022,5.01
23-10-2022,0.3
24-10-2022,0.01
25-10-2022,0
26-10-2022,0
27-10-2022,0
28-10-2022,0
29-10-2022,0.1
30-10-2022,1.57
31-10-2022,0.44
01-11-2022,0
02-11-2022,2.18
03-11-2022,2.97
04-11-2022,0.65
05-11-2022,0.94
06-11-2022,0.63
07-11-2022,0.17
08-11-2022,0
09-11-2022,0
10-11-2022,0
11-11-2022,0.09
12-11-2022,2
13-11-2022,2.73
14-11-2022,0.25
15-11-2022,0.83
16-11-2022,0.15
17-11-2022,0
18-11-2022,0
19-11-2022,0
20-11-2022,0
21-11-2022,0
22-11-2022,0.31
23-11-2022,1.39
24-11-2022,2.65
25-11-2022,2.34
26-11-2022,0.06
27-11-2022,0.17
28-11-2022,1.29
29-11-2022,1.06
30-11-2022,0.01
01-12-2022,0
02-12-2022,0.01
03-12-2022,0.17
04-12-2022,0.01
05-12-2022,0.02
06-12-2022,0
07-12-2022,0
08-12-2022,0
09-12-2022,0.02
10-12-2022,1.39
11-12-2022,10.48
12-12-2022,6.69
13-12-2022,4.52
14-12-2022,3.65
15-12-2022,0.22
16-12-2022,0
17-12-2022,0
18-12-2022,0
19-12-2022,0
20-12-2022,0
21-12-2022,0
22-12-2022,0
23-12-2022,0
24-12-2022,0
25-12-2022,0
26-12-2022,0.93
27-12-2022,0.15
28-12-2022,0.06
29-12-2022,0
30-12-2022,0
31-12-2022,0
01-01-2023,0
02-01-2023,0
03-01-2023,0
04-01-2023,0
05-01-2023,0
06-01-2023,0
07-01-2023,0
08-01-2023,0
09-01-2023,0
10-01-2023,0
11-01-2023,0
12-01-2023,0
13-01-2023,0
14-01-2023,0
15-01-2023,0
16-01-2023,0
17-01-2023,
18-01-2023,0
19-01-2023,0
20-01-2023,0
21-01-2023,0
22-01-2023,0
23-01-2023,0
24-01-2023,0
25-01-2023,0.63
26-01-2023,0.03
27-01-2023,0
28-01-2023,0
29-01-2023,0
30-01-2023,0
31-01-2023,0.05
01-02-2023,0
02-02-2023,0
03-02-2023,0
04-02-2023,0.01
05-02-2023,0
06-02-2023,0
07-02-2023,0
08-02-2023,0
09-02-2023,0
10-02-2023,0
11-02-2023,0
12-02-2023,0
13-02-2023,0
14-02-2023,0
15-02-2023,0
16-02-2023,0
17-02-2023,0
18-02-2023,0
19-02-2023,0
20-02-2023,0
21-02-2023,0
22-02-2023,0
23-02-2023,0
24-02-2023,0
25-02-2023,0
26-02-2023,0
27-02-2023,0
28-02-2023,0
01-03-2023,0
02-03-2023,0
03-03-2023,0
04-03-2023,0
05-03-2023,0
06-03-2023,0
07-03-2023,0
08-03-2023,0
09-03-2023,0
10-03-2023,0
11-03-2023,0
12-03-2023,0
13-03-2023,0
14-03-2023,0
15-03-2023,0.31
16-03-2023,1.03
17-03-2023,2.67
18-03-2023,2.14
19-03-2023,2.99
20-03-2023,0.02
21-03-2023,0.1
22-03-2023,0.27
23-03-2023,0
24-03-2023,0
25-03-2023,0.22
26-03-2023,0.07
27-03-2023,0.33
28-03-2023,0
29-03-2023,0.01
30-03-2023,0.54
31-03-2023,0.28
01-04-2023,0.51
02-04-2023,0.2
03-04-2023,0.06
04-04-2023,1.18
05-04-2023,0.38
06-04-2023,0.21
07-04-2023,2.55
08-04-2023,1.23
09-04-2023,0.31
10-04-2023,0.01
11-04-2023,0.03
12-04-2023,0
13-04-2023,0
14-04-2023,0.1
15-04-2023,0.8
16-04-2023,0.01
17-04-2023,0.12
18-04-2023,0
19-04-2023,0
20-04-2023,0.01
21-04-2023,1.04
22-04-2023,1.71
23-04-2023,0.43
24-04-2023,0.25
25-04-2023,0.77
26-04-2023,3.51
27-04-2023,1.1
28-04-2023,3.57
29-04-2023,3.85
30-04-2023,8.95
01-05-2023,5.33
02-05-2023,7.65
03-05-2023,5.11
04-05-2023,1.22
05-05-2023,2.42
06-05-2023,1.89
07-05-2023,5.88
08-05-2023,2.05
09-05-2023,9.63
10-05-2023,5.9
11-05-2023,1.89
12-05-2023,5.57
13-05-2023,1.47
14-05-2023,0.54
15-05-2023,0
16-05-2023,0
17-05-2023,0.02
18-05-2023,0.13
19-05-2023,0.29
20-05-2023,0.04
21-05-2023,2.36
22-05-2023,7.83
23-05-2023,2.98
24-05-2023,2.77
25-05-2023,2.21
26-05-2023,1.97
27-05-2023,0.45
28-05-2023,0.52
29-05-2023,0.81
30-05-2023,6.95
31-05-2023,3.46
01-06-2023,4.78
02-06-2023,1.99
03-06-2023,0.04
04-06-2023,1.14
05-06-2023,1.33
06-06-2023,0.38
07-06-2023,0.54
08-06-2023,1.33
09-06-2023,1.63
10-06-2023,2
11-06-2023,4.04
12-06-2023,4.19
13-06-2023,
14-06-2023,0.94
15-06-2023,0.56
16-06-2023,0.4
17-06-2023,0.37
18-06-2023,1.77
19-06-2023,1.98
20-06-2023,1.98
21-06-2023,4.11
22-06-2023,5.76
23-06-2023,3.04
24-06-2023,5.45
25-06-2023,7.69
26-06-2023,6.53
27-06-2023,1.27
28-06-2023,5.99
29-06-2023,2.02
30-06-2023,5.54
01-07-2023,3.81
02-07-2023,4.56
03-07-2023,9.64
04-07-2023,9.41
05-07-2023,16.16
06-07-2023,16.13
07-07-2023,13.66
08-07-2023,10.05
09-07-2023,7.99
10-07-2023,3.13
11-07-2023,1.72
12-07-2023,3.26
13-07-2023,8.51
14-07-2023,6.77
15-07-2023,4.33
16-07-2023,6.24
17-07-2023,4.58
18-07-2023,8.19
19-07-2023,15.81
20-07-2023,15.06
21-07-2023,19.74
22-07-2023,18.41
23-07-2023,22.23
24-07-2023,25.24
25-07-2023,26.55
26-07-2023,21.08
27-07-2023,21.4
28-07-2023,6.98
29-07-2023,3.2
30-07-2023,2.17
31-07-2023,2.76
01-08-2023,3.91
02-08-2023,1.11
03-08-2023,1.28
04-08-2023,2.3
05-08-2023,3.83
06-08-2023,3.19
07-08-2023,1.32
08-08-2023,1.04
09-08-2023,1.26
10-08-2023,2.54
11-08-2023,2.55
12-08-2023,1.06
13-08-2023,0.49
14-08-2023,0.57
15-08-2023,0.52
16-08-2023,0.23
17-08-2023,0.61
18-08-2023,1.27
19-08-2023,4.02
20-08-2023,7.18
21-08-2023,1
22-08-2023,0.13
23-08-2023,0.15
24-08-2023,0.07
25-08-2023,0.49
26-08-2023,2.04
27-08-2023,2.55
28-08-2023,0.62
29-08-2023,1.15
30-08-2023,1.74
31-08-2023,1.36
01-09-2023,10.76
02-09-2023,6.67
03-09-2023,6.86
04-09-2023,10.38
05-09-2023,7.85
06-09-2023,7.03
07-09-2023,4.16
08-09-2023,3.74
09-09-2023,2.94
10-09-2023,4.53
11-09-2023,2.93
12-09-2023,3.83
13-09-2023,1.33
14-09-2023,1.53
15-09-2023,4.04
16-09-2023,5.51
17-09-2023,5.44
18-09-2023,3.38
19-09-2023,3.08
20-09-2023,2.39
21-09-2023,1.74
22-09-2023,3.36
23-09-2023,7.29
24-09-2023,9.95
25-09-2023,6.18
26-09-2023,3.91
27-09-2023,4.4
28-09-2023,4.27
29-09-2023,4.69
30-09-2023,6.24
01-10-2023,8.11
02-10-2023,3.54
03-10-2023,0.4
04-10-2023,0.18
05-10-2023,0.22
06-10-2023,0.25
07-10-2023,0.84
08-10-2023,0.95
09-10-2023,3.92
10-10-2023,5.87
11-10-2023,4.12
12-10-2023,4.55
13-10-2023,1.34
14-10-2023,0.04
15-10-2023,1.2
16-10-2023,0.17
17-10-2023,3.41
18-10-2023,1.7
19-10-2023,0.04
20-10-2023,0.01
21-10-2023,0.08
22-10-2023,0.5
23-10-2023,0.06
24-10-2023,0.01
25-10-2023,0
26-10-2023,0
27-10-2023,0
28-10-2023,0
29-10-2023,0.18
30-10-2023,2.36
31-10-2023,3.03
01-11-2023,0.94
02-11-2023,0.4
03-11-2023,0.46
04-11-2023,1.01
05-11-2023,4.08
06-11-2023,9.13
07-11-2023,13.16
08-11-2023,2.74
09-11-2023,15.3
10-11-2023,3.76
11-11-2023,0.34
12-11-2023,0
13-11-2023,0
14-11-2023,0
15-11-2023,0.03
16-11-2023,0
17-11-2023,0
18-11-2023,0.05
19-11-2023,0.22
20-11-2023,0
21-11-2023,0
22-11-2023,0.26
23-11-2023,1.09
24-11-2023,0.88
25-11-2023,0.49
26-11-2023,0.83
27-11-2023,0.06
28-11-2023,0.08
29-11-2023,3.2
30-11-2023,0.66
01-12-2023,1.29
02-12-2023,0.41
03-12-2023,0.15
04-12-2023,0.17
05-12-2023,0.22
06-12-2023,0.08
07-12-2023,0.25
08-12-2023,0.24
09-12-2023,2.46
10-12-2023,0.47
11-12-2023,0.88
12-12-2023,0.09
13-12-2023,0.03
14-12-2023,0
15-12-2023,0
16-12-2023,0.01
17-12-2023,0.01
18-12-2023,0.01
19-12-2023,0
20-12-2023,0
21-12-2023,0
22-12-2023,0
23-12-2023,0
24-12-2023,0
25-12-2023,0
26-12-2023,0
27-12-2023,0
28-12-2023,0
29-12-2023,0.01
30-12-2023,0
31-12-2023,0
01-01-2024,0
02-01-2024,0
03-01-2024,0.03
04-01-2024,0.96
05-01-2024,1.61
06-01-2024,0.27
07-01-2024,2.33
08-01-2024,0.35
09-01-2024,0.51
